[2024-03-23T07:44:42.872+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:00:00+00:00 [queued]>
[2024-03-23T07:44:42.951+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:00:00+00:00 [queued]>
[2024-03-23T07:44:42.953+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2024-03-23T07:44:42.955+0000] {taskinstance.py:1369} INFO - Starting attempt 2 of 2
[2024-03-23T07:44:42.957+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2024-03-23T07:44:43.035+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): transfer_data_to_kibana> on 2024-03-23 06:00:00+00:00
[2024-03-23T07:44:43.064+0000] {standard_task_runner.py:52} INFO - Started process 203 to run task
[2024-03-23T07:44:43.073+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'milestone3', 'transfer_data_to_kibana', 'scheduled__2024-03-23T06:00:00+00:00', '--job-id', '357', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_elia_DAG.py', '--cfg-path', '/tmp/tmpydvhqcjv', '--error-file', '/tmp/tmpq_1ar749']
[2024-03-23T07:44:43.082+0000] {standard_task_runner.py:80} INFO - Job 357: Subtask transfer_data_to_kibana
[2024-03-23T07:44:43.572+0000] {task_command.py:371} INFO - Running <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:00:00+00:00 [running]> on host 80b200fb75a8
[2024-03-23T07:44:43.855+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=elia
AIRFLOW_CTX_DAG_ID=milestone3
AIRFLOW_CTX_TASK_ID=transfer_data_to_kibana
AIRFLOW_CTX_EXECUTION_DATE=2024-03-23T06:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2024-03-23T06:00:00+00:00
[2024-03-23T07:44:49.902+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2024-03-23T07:44:49.942+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:5.028s]
[2024-03-23T07:44:52.661+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:2.696s]
[2024-03-23T07:44:53.148+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.443s]
[2024-03-23T07:44:53.276+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.123s]
[2024-03-23T07:44:53.996+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.711s]
[2024-03-23T07:44:54.109+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.100s]
[2024-03-23T07:44:54.200+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.087s]
[2024-03-23T07:44:54.263+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.062s]
[2024-03-23T07:44:54.399+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.135s]
[2024-03-23T07:44:54.563+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.163s]
[2024-03-23T07:44:54.714+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.142s]
[2024-03-23T07:44:54.771+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.055s]
[2024-03-23T07:44:54.921+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.148s]
[2024-03-23T07:44:55.001+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.079s]
[2024-03-23T07:44:55.024+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.023s]
[2024-03-23T07:44:55.049+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.024s]
[2024-03-23T07:44:55.075+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.026s]
[2024-03-23T07:44:55.097+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.020s]
[2024-03-23T07:44:55.133+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.036s]
[2024-03-23T07:44:55.158+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.024s]
[2024-03-23T07:44:55.197+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.038s]
[2024-03-23T07:44:55.245+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.043s]
[2024-03-23T07:44:55.263+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.015s]
[2024-03-23T07:44:55.292+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.028s]
[2024-03-23T07:44:55.338+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.034s]
[2024-03-23T07:44:55.396+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.056s]
[2024-03-23T07:44:55.418+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.021s]
[2024-03-23T07:44:55.462+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.042s]
[2024-03-23T07:44:55.545+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.080s]
[2024-03-23T07:44:55.611+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.059s]
[2024-03-23T07:44:55.703+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.091s]
[2024-03-23T07:44:55.759+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.055s]
[2024-03-23T07:44:55.868+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.108s]
[2024-03-23T07:44:55.956+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.087s]
[2024-03-23T07:44:56.079+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.122s]
[2024-03-23T07:44:56.151+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.070s]
[2024-03-23T07:44:56.504+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.353s]
[2024-03-23T07:44:56.844+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.338s]
[2024-03-23T07:44:59.744+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:2.895s]
