[2024-03-23T07:44:43.050+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:30:00+00:00 [queued]>
[2024-03-23T07:44:43.082+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:30:00+00:00 [queued]>
[2024-03-23T07:44:43.085+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2024-03-23T07:44:43.088+0000] {taskinstance.py:1369} INFO - Starting attempt 2 of 2
[2024-03-23T07:44:43.091+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2024-03-23T07:44:43.127+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): transfer_data_to_kibana> on 2024-03-23 06:30:00+00:00
[2024-03-23T07:44:43.145+0000] {standard_task_runner.py:52} INFO - Started process 206 to run task
[2024-03-23T07:44:43.157+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'milestone3', 'transfer_data_to_kibana', 'scheduled__2024-03-23T06:30:00+00:00', '--job-id', '359', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_elia_DAG.py', '--cfg-path', '/tmp/tmpy5_eo5gi', '--error-file', '/tmp/tmpv6ackcrb']
[2024-03-23T07:44:43.161+0000] {standard_task_runner.py:80} INFO - Job 359: Subtask transfer_data_to_kibana
[2024-03-23T07:44:43.612+0000] {task_command.py:371} INFO - Running <TaskInstance: milestone3.transfer_data_to_kibana scheduled__2024-03-23T06:30:00+00:00 [running]> on host 80b200fb75a8
[2024-03-23T07:44:44.072+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=elia
AIRFLOW_CTX_DAG_ID=milestone3
AIRFLOW_CTX_TASK_ID=transfer_data_to_kibana
AIRFLOW_CTX_EXECUTION_DATE=2024-03-23T06:30:00+00:00
AIRFLOW_CTX_TRY_NUMBER=2
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2024-03-23T06:30:00+00:00
[2024-03-23T07:44:49.901+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2024-03-23T07:44:49.941+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:5.018s]
[2024-03-23T07:44:50.420+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.433s]
[2024-03-23T07:44:50.807+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.385s]
[2024-03-23T07:44:50.854+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.041s]
[2024-03-23T07:44:50.912+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.057s]
[2024-03-23T07:44:50.966+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.049s]
[2024-03-23T07:44:51.019+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.052s]
[2024-03-23T07:44:51.050+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.031s]
[2024-03-23T07:44:51.154+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.103s]
[2024-03-23T07:44:51.220+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.065s]
[2024-03-23T07:44:51.264+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.043s]
[2024-03-23T07:44:51.306+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.041s]
[2024-03-23T07:44:51.350+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.043s]
[2024-03-23T07:44:51.386+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.036s]
[2024-03-23T07:44:51.490+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.103s]
[2024-03-23T07:44:51.539+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.047s]
[2024-03-23T07:44:51.582+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.041s]
[2024-03-23T07:44:51.625+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.042s]
[2024-03-23T07:44:51.661+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.033s]
[2024-03-23T07:44:51.697+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.032s]
[2024-03-23T07:44:51.730+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.031s]
[2024-03-23T07:44:51.749+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.017s]
[2024-03-23T07:44:51.793+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.043s]
[2024-03-23T07:44:51.817+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.022s]
[2024-03-23T07:44:51.836+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.018s]
[2024-03-23T07:44:51.867+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.030s]
[2024-03-23T07:44:51.892+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.024s]
[2024-03-23T07:44:51.910+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.017s]
[2024-03-23T07:44:51.927+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.016s]
[2024-03-23T07:44:51.943+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.015s]
[2024-03-23T07:44:51.965+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.022s]
[2024-03-23T07:44:51.999+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.032s]
[2024-03-23T07:44:52.080+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.079s]
[2024-03-23T07:44:52.246+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.161s]
[2024-03-23T07:44:53.201+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.949s]
[2024-03-23T07:44:53.991+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.767s]
[2024-03-23T07:44:54.109+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.100s]
[2024-03-23T07:44:54.203+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.090s]
[2024-03-23T07:44:54.265+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.061s]
[2024-03-23T07:44:54.377+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.111s]
[2024-03-23T07:44:54.590+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.209s]
[2024-03-23T07:44:54.721+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.124s]
[2024-03-23T07:44:54.767+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.045s]
[2024-03-23T07:44:54.920+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone/doc [status:201 request:0.151s]
